id,name,county,state_code,state,zip_codes,type,latitude,longitude,area_code,population,households,median_income,land_area,water_area,time_zone
6148,Chariton,Lucas County,IA,Iowa,50049,City,41.01389,-93.3066,641,4227,1925,30027,9884680,0,America/Chicago
6149,Charles City,Floyd County,IA,Iowa,50616,City,43.06636,-92.67241,641,7513,3424,38417,16099645,224740,America/Chicago
6150,Charlotte,Clinton County,IA,Iowa,52731,City,41.9603,-90.46513,563,375,149,45875,1489594,0,America/Chicago
6151,Charter Oak,Crawford County,IA,Iowa,51439,City,42.06832,-95.59167,712,498,195,45972,1250356,2725,America/Chicago
6152,Chatsworth,Sioux County,IA,Iowa,51011,City,42.9161,-96.51642,712,80,22,46250,1275287,0,America/Chicago
6153,Chelsea,Tama County,IA,Iowa,52215,City,41.91916,-92.39463,641,261,67,44063,2614881,0,America/Chicago
6154,Cherokee,Cherokee County,IA,Iowa,51012,City,42.74943,-95.55167,712,5139,2386,41406,16941613,62863,America/Chicago
6155,Chester,Howard County,IA,Iowa,52134,City,43.49108,-92.36045,563,126,93,41771,3465013,0,America/Chicago
6156,Chillicothe,Wapello County,IA,Iowa,52548,City,41.08557,-92.52936,641,97,34,45500,588294,34434,America/Chicago
6157,Churdan,Greene County,IA,Iowa,50050,City,42.15193,-94.47442,515,376,142,38235,5473336,7680,America/Chicago
6158,Cincinnati,Appanoose County,IA,Iowa,52549,City,40.63085,-92.92465,641,348,133,25417,4518930,0,America/Chicago
6159,Clare,Webster County,IA,Iowa,50524,City,42.58719,-94.34552,515,141,76,55000,1311977,0,America/Chicago
6160,Clarence,Cedar County,IA,Iowa,52216,City,41.88891,-91.05654,563,965,432,44712,1750511,0,America/Chicago
6161,Clarinda,Page County,IA,Iowa,51632,City,40.74194,-95.03831,712,5362,2071,39854,13433110,85563,America/Chicago
6162,Clarion,Wright County,IA,Iowa,"50525, 50526",City,42.73164,-93.73299,515,2773,1067,37306,8436347,0,America/Chicago
6163,Clarksville,Butler County,IA,Iowa,50619,City,42.7847,-92.66769,319,1419,562,44167,3454512,99645,America/Chicago
6164,Clayton,Clayton County,IA,Iowa,52049,City,42.90388,-91.14735,563,42,30,34167,1280261,0,America/Chicago
6165,Clearfield,Ringgold County/Taylor County,IA,Iowa,50840,City,40.80065,-94.48307,641,342,168,33194,3253723,2993,America/Chicago
6166,Clear Lake,Cerro Gordo County,IA,Iowa,50428,City,43.13802,-93.37937,641,7682,3436,46484,27962840,6834997,America/Chicago
6167,Cleghorn,Cherokee County,IA,Iowa,51014,City,42.81221,-95.71279,712,232,102,44688,582566,0,America/Chicago
6168,Clemons,Marshall County,IA,Iowa,50051,City,42.11388,-93.15604,641,150,56,51250,699184,0,America/Chicago
6169,Clermont,Fayette County,IA,Iowa,52135,City,43.00359,-91.65237,563,615,257,40625,3181839,0,America/Chicago
6170,Climbing Hill,Woodbury County,IA,Iowa,51026,CDP,42.34166,-96.0778,712,105,41,80179,3316651,0,America/Chicago
6171,Clinton,Clinton County,IA,Iowa,"52732, 52733, 52734, 52736",City,41.84447,-90.18874,563,26246,11186,42650,91046168,7399337,America/Chicago
6172,Clio,Wayne County,IA,Iowa,50052,City,40.63501,-93.45133,641,81,63,59583,1946162,0,America/Chicago
6173,Clive,Dallas County/Polk County,IA,Iowa,50325,City,41.61324,-93.79787,515,17052,5901,90993,19511378,283291,America/Chicago
6174,Clutier,Tama County,IA,Iowa,52217,City,42.07944,-92.40213,319,210,94,30000,1965033,0,America/Chicago
6175,Coalville,Webster County,IA,Iowa,50501,CDP,42.44525,-94.12579,515,705,297,51438,5653709,191760,America/Chicago
6176,Coburg,Montgomery County,IA,Iowa,51566,City,40.91749,-95.26443,712,41,11,32250,752776,0,America/Chicago
6177,Coggon,Linn County,IA,Iowa,52218,City,42.28082,-91.53044,319,656,295,59028,1617494,51827,America/Chicago
6178,Coin,Page County,IA,Iowa,51636,City,40.65444,-95.23026,712,188,105,29886,2073295,0,America/Chicago
6179,Colesburg,Delaware County,IA,Iowa,52035,City,42.63944,-91.20208,563,395,160,49167,751208,0,America/Chicago
6180,Colfax,Jasper County,IA,Iowa,50054,City,41.67777,-93.24521,515,2061,802,44551,4647248,36252,America/Chicago
6181,College Springs,Page County,IA,Iowa,51637,City,40.61916,-95.12081,712,209,89,30972,2836546,0,America/Chicago
6182,Collins,Story County,IA,Iowa,50055,City,41.90277,-93.30632,641,485,167,58250,1267159,12911,America/Chicago
6183,Colo,Story County,IA,Iowa,50056,City,42.01777,-93.31521,641,863,367,46534,2750912,0,America/Chicago
6184,Columbus City,Louisa County,IA,Iowa,52737,City,41.25864,-91.37432,319,373,169,47083,618557,0,America/Chicago
6185,Columbus Junction,Louisa County,IA,Iowa,52738,City,41.28003,-91.36071,319,1857,711,44671,5666846,0,America/Chicago
6186,Colwell,Floyd County,IA,Iowa,50616,City,43.15581,-92.59407,641,72,28,41667,475799,0,America/Chicago
6187,Conesville,Muscatine County,IA,Iowa,52739,City,41.38197,-91.34988,319,421,157,48750,928633,0,America/Chicago
6188,Conrad,Grundy County,IA,Iowa,50621,City,42.22471,-92.87465,641,1100,430,49375,3174905,0,America/Chicago
